id,sympy,natural_language
276,"ForAll(v, Or(P(v), Exists(w, T(w))))","For all v, either P(v) or there exists w such that T(w)."
277,"ForAll(y, Implies(R(y), P(y)))","For all y, if R(y) then P(y)."
278,"ForAll(v, Equivalent(Q(v), S(v)))","For all v, Q(v) if and only if S(v)."
279,"ForAll(u, Implies(S(u), Or(S(u), U(u))))","For all u, if S(u) then S(u) or U(u)."
280,"ForAll(v, Equivalent(P(v), Q(v)))","For all v, P(v) if and only if Q(v)."
281,"ForAll(v, Or(Not(R(v)), S(v)))","For all v, either not R(v) or S(v)."
282,"ForAll(u, Exists(w, L(u,w)))","For all u, there exists w such that L(u,w)."
283,"Exists(y, Implies(R(y), ForAll(x, S(x))))","There exists y such that if R(y) then for all x, S(x)."
284,"Exists(z, Exists(w, And(L(z,w), U(z))))","There exist z and w such that L(z,w) and U(z)."
285,"ForAll(v, Implies(Exists(w, L(v,w)), S(v)))","For all v, if there exists w with L(v,w) then S(v)."
286,"ForAll(z, Implies(P(z), Exists(y, O(z,y))))","For all z, if P(z) then there exists y such that O(z,y)."
287,"ForAll(z, Or(Not(T(z)), P(z)))","For all z, either not T(z) or P(z)."
288,"Exists(x, And(Not(R(x)), Exists(w, M(x,w))))","There exists x such that not R(x) and there exists w with M(x,w)."
289,"ForAll(w, Implies(And(Q(w), U(w)), T(w)))","For all w, if Q(w) and U(w) then T(w)."
290,"Exists(y, ForAll(u, Equivalent(T(y), M(y,u))))","There exists y such that for all u, T(y) iff M(y,u)."
291,"ForAll(z, Implies(T(z), And(U(z), V(z))))","For all z, if T(z) then U(z) and V(z)."
292,"ForAll(w, Or(Not(V(w)), U(w)))","For all w, either not V(w) or U(w)."
293,"Exists(x, And(R(x), V(x)))",There exists x such that R(x) and V(x).
294,"ForAll(y, Implies(V(y), Exists(w, O(y,w))))","For all y, if V(y) then there exists w such that O(y,w)."
295,"ForAll(v, ForAll(u, Implies(N(v,u), N(u,v))))","For all v and u, if N(v,u) then N(u,v)."
296,"ForAll(z, Implies(And(U(z), R(z)), U(z)))","For all z, if U(z) and R(z) then U(z)."
297,"ForAll(x, Implies(V(x), U(x)))","For all x, if V(x) then U(x)."
298,"Exists(w, Exists(z, Exists(x, And(M(w,z), M(z,x)))))","There exist w, z, and x such that M(w,z) and M(z,x)."
299,"ForAll(v, Implies(S(v), Exists(x, M(v,x))))","For all v, if S(v) then there exists x such that M(v,x)."
300,"ForAll(z, Implies(S(z), Exists(w, O(z,w))))","For all z, if S(z) then there exists w such that O(z,w)."
301,"Exists(y, ForAll(w, Equivalent(Q(y), O(y,w))))","There exists y such that for all w, Q(y) iff O(y,w)."
302,"ForAll(x, Or(R(x), Exists(z, P(z))))","For all x, either R(x) or there exists z such that P(z)."
303,"Exists(u, ForAll(x, Implies(M(u,x), T(x))))","There exists u such that for all x, if M(u,x) then T(x)."
304,"Exists(z, And(Not(S(z)), Exists(u, L(z,u))))","There exists z such that not S(z) and there exists u with L(z,u)."
305,"ForAll(w, Implies(And(Q(w), Q(w)), Q(w)))","For all w, if Q(w) and Q(w) then Q(w)."
306,"Exists(y, Exists(z, And(M(y,z), T(y))))","There exist y and z such that M(y,z) and T(y)."
307,"Exists(w, Implies(V(w), ForAll(y, T(y))))","There exists w such that if V(w) then for all y, T(y)."
308,"ForAll(v, Equivalent(U(v), S(v)))","For all v, U(v) if and only if S(v)."
309,"Exists(u, And(T(u), S(u)))",There exists u such that T(u) and S(u).
310,"Exists(v, Exists(u, Exists(x, And(L(v,u), L(u,x)))))","There exist v, u, and x such that L(v,u) and L(u,x)."
311,"ForAll(x, Or(Not(S(x)), U(x)))","For all x, either not S(x) or U(x)."
312,"Exists(w, ForAll(u, Equivalent(U(w), M(w,u))))","There exists w such that for all u, U(w) iff M(w,u)."
313,"ForAll(y, Implies(V(y), Or(V(y), P(y))))","For all y, if V(y) then V(y) or P(y)."
314,"ForAll(y, Implies(T(y), And(U(y), T(y))))","For all y, if T(y) then U(y) and T(y)."
315,"ForAll(v, Implies(U(v), R(v)))","For all v, if U(v) then R(v)."
316,"ForAll(w, ForAll(z, Implies(M(w,z), M(z,w))))","For all w and z, if M(w,z) then M(z,w)."
317,"ForAll(z, Or(S(z), Exists(v, Q(v))))","For all z, either S(z) or there exists v such that Q(v)."
318,"ForAll(z, Implies(Exists(w, N(z,w)), T(z)))","For all z, if there exists w with N(z,w) then T(z)."
319,"ForAll(y, Implies(Q(y), Or(R(y), T(y))))","For all y, if Q(y) then R(y) or T(y)."
320,"ForAll(w, Implies(V(w), And(U(w), Q(w))))","For all w, if V(w) then U(w) and Q(w)."
321,"ForAll(w, Implies(Q(w), And(T(w), P(w))))","For all w, if Q(w) then T(w) and P(w)."
322,"ForAll(y, Implies(U(y), R(y)))","For all y, if U(y) then R(y)."
323,"ForAll(w, Implies(T(w), Q(w)))","For all w, if T(w) then Q(w)."
324,"ForAll(u, Equivalent(V(u), R(u)))","For all u, V(u) if and only if R(u)."
325,"ForAll(w, Exists(x, N(w,x)))","For all w, there exists x such that N(w,x)."
326,"Exists(w, ForAll(y, Equivalent(Q(w), M(w,y))))","There exists w such that for all y, Q(w) iff M(w,y)."
327,"Exists(w, And(Not(T(w)), Exists(y, M(w,y))))","There exists w such that not T(w) and there exists y with M(w,y)."
328,"ForAll(x, Implies(U(x), U(x)))","For all x, if U(x) then U(x)."
329,"ForAll(x, ForAll(v, Implies(M(x,v), M(v,x))))","For all x and v, if M(x,v) then M(v,x)."
330,"Exists(z, And(U(z), U(z)))",There exists z such that U(z) and U(z).
331,"Exists(v, And(Not(U(v)), Exists(z, M(v,z))))","There exists v such that not U(v) and there exists z with M(v,z)."
332,"ForAll(v, Exists(z, M(v,z)))","For all v, there exists z such that M(v,z)."
333,"Exists(y, Implies(V(y), ForAll(x, Q(x))))","There exists y such that if V(y) then for all x, Q(x)."
334,"Exists(w, Exists(x, And(L(w,x), R(w))))","There exist w and x such that L(w,x) and R(w)."
335,"Exists(v, ForAll(w, Equivalent(P(v), L(v,w))))","There exists v such that for all w, P(v) iff L(v,w)."
336,"Exists(x, ForAll(v, Implies(N(x,v), V(v))))","There exists x such that for all v, if N(x,v) then V(v)."
337,"Exists(x, ForAll(v, Implies(L(x,v), P(v))))","There exists x such that for all v, if L(x,v) then P(v)."
338,"Exists(v, And(T(v), U(v)))",There exists v such that T(v) and U(v).
339,"Exists(u, Implies(U(u), ForAll(w, V(w))))","There exists u such that if U(u) then for all w, V(w)."
340,"Exists(y, Exists(z, Exists(u, And(O(y,z), O(z,u)))))","There exist y, z, and u such that O(y,z) and O(z,u)."
341,"Exists(z, Exists(u, And(L(z,u), S(z))))","There exist z and u such that L(z,u) and S(z)."
342,"ForAll(x, ForAll(y, Implies(M(x,y), M(y,x))))","For all x and y, if M(x,y) then M(y,x)."
343,"ForAll(z, Exists(x, L(z,x)))","For all z, there exists x such that L(z,x)."
344,"ForAll(z, Or(Not(S(z)), R(z)))","For all z, either not S(z) or R(z)."
345,"Exists(v, And(Not(P(v)), Exists(w, O(v,w))))","There exists v such that not P(v) and there exists w with O(v,w)."
346,"ForAll(v, Or(T(v), Exists(u, P(u))))","For all v, either T(v) or there exists u such that P(u)."
347,"ForAll(v, Or(P(v), Exists(z, Q(z))))","For all v, either P(v) or there exists z such that Q(z)."
348,"ForAll(w, Or(U(w), Exists(v, P(v))))","For all w, either U(w) or there exists v such that P(v)."
349,"ForAll(z, Implies(S(z), Or(T(z), V(z))))","For all z, if S(z) then T(z) or V(z)."
350,"ForAll(v, Implies(V(v), And(T(v), P(v))))","For all v, if V(v) then T(v) and P(v)."
351,"Exists(z, ForAll(w, Equivalent(Q(z), O(z,w))))","There exists z such that for all w, Q(z) iff O(z,w)."
352,"ForAll(z, Exists(v, L(z,v)))","For all z, there exists v such that L(z,v)."
353,"Exists(v, And(R(v), Q(v)))",There exists v such that R(v) and Q(v).
354,"Exists(u, And(Not(V(u)), Exists(v, M(u,v))))","There exists u such that not V(u) and there exists v with M(u,v)."
355,"Exists(w, And(Not(P(w)), Exists(z, O(w,z))))","There exists w such that not P(w) and there exists z with O(w,z)."
356,"ForAll(w, ForAll(y, Implies(O(w,y), O(y,w))))","For all w and y, if O(w,y) then O(y,w)."
357,"Exists(x, Not(T(x)))",There exists x such that not T(x).
358,"Exists(v, Implies(S(v), ForAll(y, Q(y))))","There exists v such that if S(v) then for all y, Q(y)."
359,"Exists(y, Exists(z, And(N(y,z), Q(y))))","There exist y and z such that N(y,z) and Q(y)."
360,"ForAll(y, Implies(T(y), And(U(y), Q(y))))","For all y, if T(y) then U(y) and Q(y)."
361,"ForAll(y, Equivalent(T(y), U(y)))","For all y, T(y) if and only if U(y)."
362,"ForAll(u, Implies(T(u), And(R(u), T(u))))","For all u, if T(u) then R(u) and T(u)."
363,"Exists(u, ForAll(z, Equivalent(P(u), M(u,z))))","There exists u such that for all z, P(u) iff M(u,z)."
364,"Exists(z, Implies(V(z), ForAll(v, P(v))))","There exists z such that if V(z) then for all v, P(v)."
365,"ForAll(z, Implies(And(R(z), S(z)), T(z)))","For all z, if R(z) and S(z) then T(z)."
366,"Exists(y, ForAll(x, Equivalent(V(y), L(y,x))))","There exists y such that for all x, V(y) iff L(y,x)."
367,"ForAll(v, Implies(T(v), Or(Q(v), P(v))))","For all v, if T(v) then Q(v) or P(v)."
368,"ForAll(w, Exists(z, O(w,z)))","For all w, there exists z such that O(w,z)."
369,"Exists(v, ForAll(w, Implies(M(v,w), R(w))))","There exists v such that for all w, if M(v,w) then R(w)."
370,"ForAll(y, Implies(Q(y), Or(R(y), S(y))))","For all y, if Q(y) then R(y) or S(y)."
371,"Exists(w, ForAll(v, Implies(O(w,v), Q(v))))","There exists w such that for all v, if O(w,v) then Q(v)."
372,"ForAll(y, Implies(And(R(y), U(y)), T(y)))","For all y, if R(y) and U(y) then T(y)."
373,"Exists(w, ForAll(z, Implies(N(w,z), U(z))))","There exists w such that for all z, if N(w,z) then U(z)."
374,"ForAll(x, Equivalent(U(x), T(x)))","For all x, U(x) if and only if T(x)."
375,"Exists(y, Implies(T(y), ForAll(z, P(z))))","There exists y such that if T(y) then for all z, P(z)."
376,"ForAll(w, Equivalent(R(w), U(w)))","For all w, R(w) if and only if U(w)."
377,"ForAll(w, Implies(R(w), Exists(y, N(w,y))))","For all w, if R(w) then there exists y such that N(w,y)."
378,"Exists(v, Exists(z, Exists(y, And(L(v,z), L(z,y)))))","There exist v, z, and y such that L(v,z) and L(z,y)."
379,"ForAll(u, Implies(And(T(u), Q(u)), V(u)))","For all u, if T(u) and Q(u) then V(u)."
380,"Exists(u, ForAll(z, Implies(L(u,z), V(z))))","There exists u such that for all z, if L(u,z) then V(z)."
381,"ForAll(u, Implies(T(u), Exists(z, O(u,z))))","For all u, if T(u) then there exists z such that O(u,z)."
382,"ForAll(v, Or(U(v), Exists(y, P(y))))","For all v, either U(v) or there exists y such that P(y)."
383,"ForAll(v, ForAll(u, Implies(L(v,u), L(u,v))))","For all v and u, if L(v,u) then L(u,v)."
384,"Exists(y, And(P(y), T(y)))",There exists y such that P(y) and T(y).
385,"ForAll(v, Exists(y, O(v,y)))","For all v, there exists y such that O(v,y)."
386,"ForAll(w, Or(U(w), Exists(z, U(z))))","For all w, either U(w) or there exists z such that U(z)."
387,"Exists(z, ForAll(y, Equivalent(Q(z), M(z,y))))","There exists z such that for all y, Q(z) iff M(z,y)."
388,"ForAll(y, Implies(S(y), P(y)))","For all y, if S(y) then P(y)."
389,"Exists(u, Exists(z, And(L(u,z), U(u))))","There exist u and z such that L(u,z) and U(u)."
390,"Exists(z, And(Not(Q(z)), Exists(w, O(z,w))))","There exists z such that not Q(z) and there exists w with O(z,w)."
391,"ForAll(x, Equivalent(Q(x), T(x)))","For all x, Q(x) if and only if T(x)."
392,"Exists(x, ForAll(w, Implies(L(x,w), R(w))))","There exists x such that for all w, if L(x,w) then R(w)."
393,"Exists(y, ForAll(z, Equivalent(T(y), O(y,z))))","There exists y such that for all z, T(y) iff O(y,z)."
394,"ForAll(x, Or(P(x), Exists(z, R(z))))","For all x, either P(x) or there exists z such that R(z)."
395,"ForAll(y, ForAll(w, Implies(M(y,w), M(w,y))))","For all y and w, if M(y,w) then M(w,y)."
396,"ForAll(u, Implies(P(u), Or(Q(u), Q(u))))","For all u, if P(u) then Q(u) or Q(u)."
397,"Exists(u, Exists(y, Exists(x, And(L(u,y), L(y,x)))))","There exist u, y, and x such that L(u,y) and L(y,x)."
398,"Exists(w, ForAll(x, Equivalent(S(w), L(w,x))))","There exists w such that for all x, S(w) iff L(w,x)."
399,"ForAll(w, Implies(S(w), V(w)))","For all w, if S(w) then V(w)."
400,"Exists(u, Exists(y, Exists(z, And(M(u,y), M(y,z)))))","There exist u, y, and z such that M(u,y) and M(y,z)."
401,"Exists(w, And(Not(Q(w)), Exists(y, M(w,y))))","There exists w such that not Q(w) and there exists y with M(w,y)."
402,"Exists(v, ForAll(w, Implies(L(v,w), P(w))))","There exists v such that for all w, if L(v,w) then P(w)."
403,"ForAll(v, Implies(T(v), Exists(u, L(v,u))))","For all v, if T(v) then there exists u such that L(v,u)."
404,"Exists(u, ForAll(x, Implies(O(u,x), R(x))))","There exists u such that for all x, if O(u,x) then R(x)."
405,"ForAll(x, Or(Q(x), Exists(u, V(u))))","For all x, either Q(x) or there exists u such that V(u)."
406,"ForAll(v, Equivalent(R(v), V(v)))","For all v, R(v) if and only if V(v)."
407,"Exists(v, Implies(U(v), ForAll(w, R(w))))","There exists v such that if U(v) then for all w, R(w)."
408,"Exists(z, Not(U(z)))",There exists z such that not U(z).
409,"ForAll(z, Implies(Q(z), Exists(x, O(z,x))))","For all z, if Q(z) then there exists x such that O(z,x)."
410,"ForAll(x, Implies(S(x), And(T(x), V(x))))","For all x, if S(x) then T(x) and V(x)."
411,"ForAll(x, Implies(And(V(x), U(x)), S(x)))","For all x, if V(x) and U(x) then S(x)."
412,"ForAll(y, Implies(R(y), Exists(x, L(y,x))))","For all y, if R(y) then there exists x such that L(y,x)."
413,"ForAll(u, Implies(T(u), U(u)))","For all u, if T(u) then U(u)."
414,"Exists(y, Implies(R(y), ForAll(x, V(x))))","There exists y such that if R(y) then for all x, V(x)."
415,"ForAll(y, Implies(V(y), And(S(y), S(y))))","For all y, if V(y) then S(y) and S(y)."
416,"ForAll(x, Implies(Q(x), Or(P(x), P(x))))","For all x, if Q(x) then P(x) or P(x)."
417,"Exists(y, And(Not(S(y)), Exists(v, N(y,v))))","There exists y such that not S(y) and there exists v with N(y,v)."
418,"ForAll(z, Implies(And(T(z), U(z)), U(z)))","For all z, if T(z) and U(z) then U(z)."
419,"ForAll(y, Implies(R(y), V(y)))","For all y, if R(y) then V(y)."
420,"Exists(y, Not(R(y)))",There exists y such that not R(y).
421,"Exists(v, Exists(x, And(N(v,x), P(v))))","There exist v and x such that N(v,x) and P(v)."
422,"Exists(y, And(S(y), Q(y)))",There exists y such that S(y) and Q(y).
423,"ForAll(w, Implies(U(w), Exists(y, L(w,y))))","For all w, if U(w) then there exists y such that L(w,y)."
424,"Exists(u, Exists(x, Exists(y, And(O(u,x), O(x,y)))))","There exist u, x, and y such that O(u,x) and O(x,y)."
425,"Exists(z, Not(S(z)))",There exists z such that not S(z).
426,"ForAll(u, Implies(And(T(u), R(u)), Q(u)))","For all u, if T(u) and R(u) then Q(u)."
427,"ForAll(z, ForAll(v, Implies(N(z,v), N(v,z))))","For all z and v, if N(z,v) then N(v,z)."
428,"ForAll(y, Implies(S(y), Exists(z, L(y,z))))","For all y, if S(y) then there exists z such that L(y,z)."
429,"Exists(u, ForAll(w, Equivalent(U(u), L(u,w))))","There exists u such that for all w, U(u) iff L(u,w)."
430,"ForAll(w, Implies(Q(w), And(V(w), S(w))))","For all w, if Q(w) then V(w) and S(w)."
431,"Exists(y, Exists(x, Exists(w, And(O(y,x), O(x,w)))))","There exist y, x, and w such that O(y,x) and O(x,w)."
432,"Exists(x, ForAll(z, Equivalent(P(x), L(x,z))))","There exists x such that for all z, P(x) iff L(x,z)."
433,"ForAll(w, ForAll(v, Implies(L(w,v), L(v,w))))","For all w and v, if L(w,v) then L(v,w)."
434,"Exists(x, Implies(U(x), ForAll(w, U(w))))","There exists x such that if U(x) then for all w, U(w)."
435,"Exists(v, Not(S(v)))",There exists v such that not S(v).
436,"ForAll(z, Equivalent(T(z), P(z)))","For all z, T(z) if and only if P(z)."
437,"Exists(w, Exists(u, And(O(w,u), S(w))))","There exist w and u such that O(w,u) and S(w)."
438,"ForAll(w, Or(S(w), Exists(v, T(v))))","For all w, either S(w) or there exists v such that T(v)."
439,"Exists(v, Implies(P(v), ForAll(y, S(y))))","There exists v such that if P(v) then for all y, S(y)."
440,"Exists(x, Exists(z, And(N(x,z), Q(x))))","There exist x and z such that N(x,z) and Q(x)."
441,"Exists(y, ForAll(v, Implies(L(y,v), V(v))))","There exists y such that for all v, if L(y,v) then V(v)."
442,"ForAll(w, Equivalent(U(w), T(w)))","For all w, U(w) if and only if T(w)."
443,"Exists(y, Implies(S(y), ForAll(u, R(u))))","There exists y such that if S(y) then for all u, R(u)."
444,"ForAll(u, Implies(And(U(u), S(u)), P(u)))","For all u, if U(u) and S(u) then P(u)."
445,"Exists(z, Exists(v, And(N(z,v), T(z))))","There exist z and v such that N(z,v) and T(z)."
446,"ForAll(x, Implies(Q(x), And(S(x), U(x))))","For all x, if Q(x) then S(x) and U(x)."
447,"Exists(y, Exists(v, Exists(x, And(L(y,v), L(v,x)))))","There exist y, v, and x such that L(y,v) and L(v,x)."
448,"Exists(x, ForAll(u, Equivalent(P(x), L(x,u))))","There exists x such that for all u, P(x) iff L(x,u)."
449,"Exists(v, ForAll(y, Implies(M(v,y), U(y))))","There exists v such that for all y, if M(v,y) then U(y)."
450,"ForAll(w, Implies(V(w), P(w)))","For all w, if V(w) then P(w)."
451,"ForAll(y, Exists(x, O(y,x)))","For all y, there exists x such that O(y,x)."
452,"ForAll(v, Implies(Q(v), And(V(v), R(v))))","For all v, if Q(v) then V(v) and R(v)."
453,"ForAll(y, ForAll(x, Implies(L(y,x), L(x,y))))","For all y and x, if L(y,x) then L(x,y)."
454,"ForAll(z, Or(T(z), Exists(w, U(w))))","For all z, either T(z) or there exists w such that U(w)."
455,"Exists(y, Exists(w, And(N(y,w), Q(y))))","There exist y and w such that N(y,w) and Q(y)."
456,"Exists(z, Exists(w, And(M(z,w), P(z))))","There exist z and w such that M(z,w) and P(z)."
457,"ForAll(w, Implies(Q(w), Exists(y, O(w,y))))","For all w, if Q(w) then there exists y such that O(w,y)."
458,"Exists(w, And(Not(R(w)), Exists(y, L(w,y))))","There exists w such that not R(w) and there exists y with L(w,y)."
459,"ForAll(w, Implies(And(Q(w), P(w)), U(w)))","For all w, if Q(w) and P(w) then U(w)."
460,"Exists(w, ForAll(z, Implies(M(w,z), Q(z))))","There exists w such that for all z, if M(w,z) then Q(z)."
461,"Exists(u, ForAll(x, Equivalent(V(u), N(u,x))))","There exists u such that for all x, V(u) iff N(u,x)."
462,"Exists(w, And(S(w), P(w)))",There exists w such that S(w) and P(w).
463,"Exists(z, Exists(y, Exists(v, And(L(z,y), L(y,v)))))","There exist z, y, and v such that L(z,y) and L(y,v)."
464,"ForAll(w, Implies(Exists(u, M(w,u)), U(w)))","For all w, if there exists u with M(w,u) then U(w)."
465,"ForAll(z, Implies(And(Q(z), Q(z)), S(z)))","For all z, if Q(z) and Q(z) then S(z)."
466,"Exists(z, Implies(P(z), ForAll(x, P(x))))","There exists z such that if P(z) then for all x, P(x)."
467,"ForAll(y, Implies(Exists(v, M(y,v)), T(y)))","For all y, if there exists v with M(y,v) then T(y)."
468,"Exists(w, And(S(w), T(w)))",There exists w such that S(w) and T(w).
469,"ForAll(v, Implies(R(v), Or(P(v), V(v))))","For all v, if R(v) then P(v) or V(v)."
470,"Exists(z, Implies(V(z), ForAll(y, Q(y))))","There exists z such that if V(z) then for all y, Q(y)."
471,"Exists(w, ForAll(u, Implies(M(w,u), S(u))))","There exists w such that for all u, if M(w,u) then S(u)."
472,"ForAll(x, Implies(R(x), Exists(z, L(x,z))))","For all x, if R(x) then there exists z such that L(x,z)."
473,"Exists(z, ForAll(y, Implies(O(z,y), R(y))))","There exists z such that for all y, if O(z,y) then R(y)."
474,"ForAll(v, Implies(Exists(u, N(v,u)), P(v)))","For all v, if there exists u with N(v,u) then P(v)."
475,"ForAll(z, Implies(T(z), Exists(u, O(z,u))))","For all z, if T(z) then there exists u such that O(z,u)."
476,"ForAll(v, ForAll(y, Implies(O(v,y), O(y,v))))","For all v and y, if O(v,y) then O(y,v)."
477,"Exists(x, And(V(x), R(x)))",There exists x such that V(x) and R(x).
478,"ForAll(u, Implies(T(u), S(u)))","For all u, if T(u) then S(u)."
479,"Exists(w, Exists(u, Exists(y, And(L(w,u), L(u,y)))))","There exist w, u, and y such that L(w,u) and L(u,y)."
480,"Exists(y, ForAll(u, Equivalent(P(y), M(y,u))))","There exists y such that for all u, P(y) iff M(y,u)."
481,"ForAll(w, Implies(R(w), And(V(w), S(w))))","For all w, if R(w) then V(w) and S(w)."
