expression,english_description
"(∀u (Professor(u) → ¬Member(v,a)) ∨ ∀x (Student(x) → Greater(x,1)))","For every u, if u is a professor, then It is not the case that v is a member of a or For every x, if x is a student, then x is greater than 1"
"∀w (Odd(w) → (Subset(u,c) ∨ ∃z (Human(z) ∧ Greater(1,w))))","For every w, if w is odd, then u is a subset of c or There exists z such that z is a human and 1 is greater than w"
(¬¬g(z) = x ↔ ∀w (Even(w) → ¬Professor(f(y)))),"It is not the case that It is not the case that g(z) equals x if and only if For every w, if w is even, then It is not the case that f(y) is a professor"
(∃w Cat(f(u)) ∧ ∀v (Prime(v) → ¬Even(z))),"There exists w, f(u) is a cat and For every v, if v is prime, then It is not the case that z is even"
"((∀z (Student(z) → Subset(h(b),2)) ∧ x = x) ↔ ((a = h(y) ∨ Loves(v,w)) ∧ ∃z (Student(z) ∧ Greater(h(z),x))))","For every z, if z is a student, then h(b) is a subset of 2 and x equals x if and only if a equals h(y) or v loves w and There exists z such that z is a student and h(z) is greater than x"
∃z Animal(b),"There exists z, b is an animal"
Mortal(0),0 is mortal
¬Even(u),It is not the case that u is even
"Equal(w,u)",W is equal to u
"((∀x (Human(x) → Subset(v,g(x))) ∨ ∃z (Even(z) ∧ Animal(x))) ↔ Dog(w))","For every x, if x is a human, then v is a subset of g(x) or There exists z such that z is even and x is an animal if and only if w is a dog"
"¬Subset(v,0)",It is not the case that v is a subset of 0
∃u Human(y),"There exists u, y is a human"
∀v (Mortal(v) → 0 = 0),"For every v, if v is mortal, then 0 equals 0"
Human(f(y)),F(y) is a human
¬¬(z = h(z) ∧ 1 = y),It is not the case that It is not the case that z equals h(z) and 1 equals y
(w = y ↔ ∃x (Mortal(x) ∧ ¬Human(x))),W equals y if and only if There exists x such that x is mortal and It is not the case that x is a human
"∀u Equal(y,a)","For every u, y is equal to a"
"(Prime(y) ∨ Knows(v,0))",Y is prime or v knows 0
"Subset(y,a)",Y is a subset of a
Cat(u),U is a cat
"Friend(x,x)",X is a friend of x
Mortal(y),Y is mortal
∀y b = y,"For every y, b equals y"
"(¬(Animal(c) ∧ Mortal(y)) ∧ (Knows(w,f(v)) → ¬Animal(0)))","It is not the case that c is an animal and y is mortal and if w knows f(v), then It is not the case that 0 is an animal"
∀y (Prime(y) → ∃v ∃u v = v),"For every y, if y is prime, then There exists v, There exists u, v equals v"
¬¬∃y (Animal(y) ∧ Even(b)),It is not the case that It is not the case that There exists y such that y is an animal and b is even
"∃x ¬¬Likes(f(1),u)","There exists x, It is not the case that It is not the case that f(1) likes u"
"(¬(Member(h(u),v) ∨ w = a) → Subset(1,h(b)))","If It is not the case that h(u) is a member of v or w equals a, then 1 is a subset of h(b)"
"((Odd(g(w)) → ∀u Loves(u,u)) → ¬y = h(x))","If if g(w) is odd, then For every u, u loves u, then It is not the case that y equals h(x)"
∀y (Prime(y) → (f(v) = 0 → ∀z (Odd(z) → Cat(c)))),"For every y, if y is prime, then if f(v) equals 0, then For every z, if z is odd, then c is a cat"
"∃x (Cat(x) ∧ ¬∀z (Professor(z) → Friend(x,z)))","There exists x such that x is a cat and It is not the case that For every z, if z is a professor, then x is a friend of z"
"Likes(c,u)",C likes u
¬Even(g(y)),It is not the case that g(y) is even
"Less(c,z)",C is less than z
∃v ∀u (Student(u) → ∀y v = g(v)),"There exists v, For every u, if u is a student, then For every y, v equals g(v)"
h(x) = g(v),H(x) equals g(v)
"¬((Dog(u) ↔ Even(0)) ∧ Equal(0,v))",It is not the case that u is a dog if and only if 0 is even and 0 is equal to v
"Member(f(v),f(c))",F(v) is a member of f(c)
"(∀y (Prime(y) → Greater(g(w),x)) ↔ Subset(w,g(h(z))))","For every y, if y is prime, then g(w) is greater than x if and only if w is a subset of g(h(z))"
"¬(∀w Less(1,z) → ¬Less(z,w))","It is not the case that if For every w, 1 is less than z, then It is not the case that z is less than w"
"Loves(2,x)",2 loves x
"¬Greater(w,a)",It is not the case that w is greater than a
(u = y ∧ Animal(h(v))),U equals y and h(v) is an animal
"∀x (Knows(c,z) ∨ Professor(c))","For every x, c knows z or c is a professor"
a = u,A equals u
"¬Likes(z,z)",It is not the case that z likes z
∃x Dog(y),"There exists x, y is a dog"
"(ParentOf(a,v) ↔ (∀y Loves(h(u),v) ∧ ∃y Odd(x)))","A is a parent of v if and only if For every y, h(u) loves v and There exists y, x is odd"
h(a) = x,H(a) equals x
"(∀u (Prime(u) → Student(g(z))) ∨ Equal(w,a))","For every u, if u is prime, then g(z) is a student or w is equal to a"
"∃x ¬¬Equal(u,c)","There exists x, It is not the case that It is not the case that u is equal to c"
∀u (Mortal(u) → ∀v (Even(v) → Professor(w))),"For every u, if u is mortal, then For every v, if v is even, then w is a professor"
¬Cat(a),It is not the case that a is a cat
"∃v ¬(Odd(a) ∨ Loves(z,g(x)))","There exists v, It is not the case that a is odd or z loves g(x)"
"¬(∃v Knows(v,h(v)) ↔ (Human(b) → Mortal(w)))","It is not the case that There exists v, v knows h(v) if and only if if b is a human, then w is mortal"
Dog(y),Y is a dog
"Loves(f(z),w)",F(z) loves w
"(((Prime(x) → Animal(v)) ↔ ParentOf(x,h(z))) ∨ (∃v (Dog(v) ∧ Member(y,x)) ↔ (Prime(v) ∨ Member(x,1))))","If x is prime, then v is an animal if and only if x is a parent of h(z) or There exists v such that v is a dog and y is a member of x if and only if v is prime or x is a member of 1"
∃u (Odd(u) ∧ ∃u ¬Animal(w)),"There exists u such that u is odd and There exists u, It is not the case that w is an animal"
"∀x (ParentOf(x,x) ∨ Odd(g(x)))","For every x, x is a parent of x or g(x) is odd"
g(y) = a,G(y) equals a
"(Mortal(x) → (∃x (Professor(x) ∧ Member(h(v),h(f(z)))) ↔ ∃w Student(z)))","If x is mortal, then There exists x such that x is a professor and h(v) is a member of h(f(z)) if and only if There exists w, z is a student"
"¬∀x (Prime(x) → ¬Friend(w,z))","It is not the case that For every x, if x is prime, then It is not the case that w is a friend of z"
"∃x ∃w (Less(h(g(g(z))),y) ↔ Friend(h(h(x)),x))","There exists x, There exists w, h(g(g(z))) is less than y if and only if h(h(x)) is a friend of x"
"(∀x (Member(0,a) → Even(f(z))) ∨ Friend(h(z),w))","For every x, if 0 is a member of a, then f(z) is even or h(z) is a friend of w"
"Greater(u,u)",U is greater than u
∀v (Human(v) → (∃u (Professor(u) ∧ 1 = x) ↔ Odd(u))),"For every v, if v is a human, then There exists u such that u is a professor and 1 equals x if and only if u is odd"
"(((Cat(f(y)) ↔ Subset(u,z)) → ∃w (Mortal(w) ∧ Human(y))) ∨ ∀v ¬Prime(b))","If f(y) is a cat if and only if u is a subset of z, then There exists w such that w is mortal and y is a human or For every v, It is not the case that b is prime"
"Subset(z,0)",Z is a subset of 0
y = z,Y equals z
"∀z Member(y,u)","For every z, y is a member of u"
∃w x = y,"There exists w, x equals y"
"∀u (Dog(u) → (¬Dog(z) ∧ Greater(2,1)))","For every u, if u is a dog, then It is not the case that z is a dog and 2 is greater than 1"
"¬∀z (Student(z) → (Friend(u,h(w)) → Likes(x,0)))","It is not the case that For every z, if z is a student, then if u is a friend of h(w), then x likes 0"
c = h(g(y)),C equals h(g(y))
∃x (Animal(x) ∧ Professor(u)),There exists x such that x is an animal and u is a professor
∀w ¬¬Cat(0),"For every w, It is not the case that It is not the case that 0 is a cat"
"∀v (Prime(v) → ParentOf(2,u))","For every v, if v is prime, then 2 is a parent of u"
"Subset(y,c)",Y is a subset of c
"(x = 1 ↔ ¬(Student(f(b)) ↔ Likes(w,v)))",X equals 1 if and only if It is not the case that f(b) is a student if and only if w likes v
(∃y (Student(y) ∧ (Odd(u) ↔ u = u)) ↔ ∀z ∀z (Professor(z) → x = b)),"There exists y such that y is a student and u is odd if and only if u equals u if and only if For every z, For every z, if z is a professor, then x equals b"
"((¬Even(x) → Subset(u,b)) ∧ ∀x (Student(x) → ∃u Member(f(u),2)))","If It is not the case that x is even, then u is a subset of b and For every x, if x is a student, then There exists u, f(u) is a member of 2"
(g(x) = w → Cat(0)),"If g(x) equals w, then 0 is a cat"
"(∃v (Equal(h(z),f(z)) ∨ Even(y)) → Greater(v,x))","If There exists v, h(z) is equal to f(z) or y is even, then v is greater than x"
"(Likes(g(v),v) ∧ Dog(h(w)))",G(v) likes v and h(w) is a dog
∃u ∀x ∃x w = y,"There exists u, For every x, There exists x, w equals y"
∃u Professor(y),"There exists u, y is a professor"
∃x (Even(x) ∧ Dog(0)),There exists x such that x is even and 0 is a dog
"¬(¬Subset(h(z),g(v)) ∧ ¬Friend(u,h(y)))",It is not the case that It is not the case that h(z) is a subset of g(v) and It is not the case that u is a friend of h(y)
"∀w (∃z Cat(h(w)) → ¬Subset(2,y))","For every w, if There exists z, h(w) is a cat, then It is not the case that 2 is a subset of y"
"Friend(1,x)",1 is a friend of x
"(Odd(b) ∨ ((Greater(c,w) → Mortal(0)) ↔ ∀v (Odd(v) → Cat(w))))","B is odd or if c is greater than w, then 0 is mortal if and only if For every v, if v is odd, then w is a cat"
"∀x (Prime(x) → ((Member(g(w),u) ∧ Equal(f(u),b)) ∨ (v = x ∧ Student(z))))","For every x, if x is prime, then g(w) is a member of u and f(u) is equal to b or v equals x and z is a student"
"∃z (Human(z) ∧ ¬¬ParentOf(w,x))",There exists z such that z is a human and It is not the case that It is not the case that w is a parent of x
z = c,Z equals c
"(((Even(w) ↔ Knows(y,g(w))) ↔ (Knows(2,w) ∨ b = h(x))) ↔ ¬(Animal(w) → Loves(h(0),f(x))))","W is even if and only if y knows g(w) if and only if 2 knows w or b equals h(x) if and only if It is not the case that if w is an animal, then h(0) loves f(x)"
y = y,Y equals y
u = a,U equals a
"(z = z ↔ Likes(v,0))",Z equals z if and only if v likes 0
(Human(y) ∧ ¬(h(z) = 0 ↔ b = f(f(u)))),Y is a human and It is not the case that h(z) equals 0 if and only if b equals f(f(u))
"Greater(b,u)",B is greater than u
"Less(f(v),y)",F(v) is less than y
"(Professor(c) ↔ ¬∀w Subset(w,g(g(2))))","C is a professor if and only if It is not the case that For every w, w is a subset of g(g(2))"
v = h(u),V equals h(u)
"∀w ∀w (Student(w) → ∃v (Professor(v) ∧ Likes(z,g(c))))","For every w, For every w, if w is a student, then There exists v such that v is a professor and z likes g(c)"
"(¬∃x (Mortal(x) ∧ Prime(z)) ∧ Knows(a,2))",It is not the case that There exists x such that x is mortal and z is prime and a knows 2
"Member(c,w)",C is a member of w
"Knows(v,f(w))",V knows f(w)
∀z (Prime(z) → Dog(a)),"For every z, if z is prime, then a is a dog"
"Less(y,v)",Y is less than v
∀y ¬Student(u),"For every y, It is not the case that u is a student"
(Animal(f(v)) ∧ ∀v (Human(g(f(x))) ∧ Cat(0))),"F(v) is an animal and For every v, g(f(x)) is a human and 0 is a cat"
"(¬¬Likes(u,h(z)) → ∃x (Dog(x) ∧ ¬1 = f(y)))","If It is not the case that It is not the case that u likes h(z), then There exists x such that x is a dog and It is not the case that 1 equals f(y)"
"∃u (Professor(u) ∧ ¬Less(v,f(v)))",There exists u such that u is a professor and It is not the case that v is less than f(v)
"Friend(v,h(u))",V is a friend of h(u)
"ParentOf(g(w),h(v))",G(w) is a parent of h(v)
"(Human(x) ∧ ∃u Less(g(x),x))","X is a human and There exists u, g(x) is less than x"
¬((Cat(z) ∧ Odd(y)) → Professor(x)),"It is not the case that if z is a cat and y is odd, then x is a professor"
"(Member(h(w),y) ∨ ¬Less(2,x))",H(w) is a member of y or It is not the case that 2 is less than x
"(Greater(h(u),x) → ∃v (Odd(v) ∧ ∃v (Odd(v) ∧ Dog(0))))","If h(u) is greater than x, then There exists v such that v is odd and There exists v such that v is odd and 0 is a dog"
"((Animal(z) ↔ (Greater(b,g(z)) ↔ Odd(0))) ∨ ((z = c ∧ Odd(2)) → ∃x (Dog(x) ∧ y = c)))","Z is an animal if and only if b is greater than g(z) if and only if 0 is odd or if z equals c and 2 is odd, then There exists x such that x is a dog and y equals c"
"∀w ¬Equal(h(x),v)","For every w, It is not the case that h(x) is equal to v"
"¬¬Subset(0,x)",It is not the case that It is not the case that 0 is a subset of x
"Equal(u,f(b))",U is equal to f(b)
Dog(u),U is a dog
"∀w (Dog(w) → (g(v) = h(u) → ParentOf(z,0)))","For every w, if w is a dog, then if g(v) equals h(u), then z is a parent of 0"
Animal(w),W is an animal
"(¬Student(u) ∨ ¬∃y Subset(v,h(0)))","It is not the case that u is a student or It is not the case that There exists y, v is a subset of h(0)"
u = b,U equals b
∃u (Mortal(u) ∧ 0 = w),There exists u such that u is mortal and 0 equals w
∀y (Professor(y) → ∃u (Professor(u) ∧ ¬Professor(w))),"For every y, if y is a professor, then There exists u such that u is a professor and It is not the case that w is a professor"
∃y ∀x g(y) = v,"There exists y, For every x, g(y) equals v"
"Subset(w,y)",W is a subset of y
¬Even(x),It is not the case that x is even
"Subset(z,f(v))",Z is a subset of f(v)
"Equal(w,h(y))",W is equal to h(y)
b = x,B equals x
∀w ¬(Prime(f(x)) ∧ x = y),"For every w, It is not the case that f(x) is prime and x equals y"
"¬∀w (Prime(w) → ∃z (Animal(z) ∧ Equal(f(z),u)))","It is not the case that For every w, if w is prime, then There exists z such that z is an animal and f(z) is equal to u"
"(Less(y,v) ↔ ∃w (Mortal(w) ∧ Equal(2,y)))",Y is less than v if and only if There exists w such that w is mortal and 2 is equal to y
g(b) = 2,G(b) equals 2
¬∃z (Prime(z) ∧ (z = u ∨ Mortal(g(z)))),It is not the case that There exists z such that z is prime and z equals u or g(z) is mortal
Prime(c),C is prime
"¬(f(w) = 1 ∧ (Loves(f(x),b) ∨ Professor(b)))",It is not the case that f(w) equals 1 and f(x) loves b or b is a professor
(Mortal(z) ∨ ∃y (Even(y) ∧ Professor(u))),Z is mortal or There exists y such that y is even and u is a professor
"∀x ¬(Friend(u,z) ∨ Loves(w,y))","For every x, It is not the case that u is a friend of z or w loves y"
"Subset(u,h(w))",U is a subset of h(w)
"¬∀x (Mortal(x) → Less(0,c))","It is not the case that For every x, if x is mortal, then 0 is less than c"
"∃w (Even(w) ∧ Likes(2,v))",There exists w such that w is even and 2 likes v
"¬Friend(x,0)",It is not the case that x is a friend of 0
"((Greater(1,h(v)) ∨ Loves(v,g(z))) ∨ (Likes(w,u) ∨ ∃y (Professor(y) ∧ Professor(a))))",1 is greater than h(v) or v loves g(z) or w likes u or There exists y such that y is a professor and a is a professor
"ParentOf(u,v)",U is a parent of v
Student(z),Z is a student
"Knows(f(a),v)",F(a) knows v
"∀u (Dog(u) → ((Dog(0) ∧ Less(f(w),y)) ↔ ∃z Even(2)))","For every u, if u is a dog, then 0 is a dog and f(w) is less than y if and only if There exists z, 2 is even"
"Less(z,h(v))",Z is less than h(v)
∀x (Even(x) → ∃x Odd(h(y))),"For every x, if x is even, then There exists x, h(y) is odd"
"Subset(u,g(y))",U is a subset of g(y)
"Loves(w,z)",W loves z
"∃y ∀w (Professor(w) → (Less(h(v),z) → Equal(1,g(y))))","There exists y, For every w, if w is a professor, then if h(v) is less than z, then 1 is equal to g(y)"
b = a,B equals a
"¬Greater(v,u)",It is not the case that v is greater than u
(∀y (Mortal(y) → ¬g(f(u)) = z) → ∃w (Dog(w) ∧ Mortal(y))),"If For every y, if y is mortal, then It is not the case that g(f(u)) equals z, then There exists w such that w is a dog and y is mortal"
"((¬Likes(f(w),w) ↔ ¬u = c) → (Odd(y) ↔ Likes(h(1),w)))","If It is not the case that f(w) likes w if and only if It is not the case that u equals c, then y is odd if and only if h(1) likes w"
¬¬(Professor(u) ∨ Human(u)),It is not the case that It is not the case that u is a professor or u is a human
¬(¬Student(u) ↔ Prime(h(u))),It is not the case that It is not the case that u is a student if and only if h(u) is prime
Student(x),X is a student
"∀v (Mortal(v) → (Friend(w,c) ∧ ¬h(f(h(v))) = h(w)))","For every v, if v is mortal, then w is a friend of c and It is not the case that h(f(h(v))) equals h(w)"
